188,ডঃ মোঃ ফখরুল ইসলাম,অধ্যাপক,বস্তু ও ধাতব কৌশল বিভাগ
189,ডঃ মোঃ মনিরুজ্জামান,অধ্যাপক,বস্তু ও ধাতব কৌশল বিভাগ
190,ডঃ দিল আফরোজা বেগম,অধ্যাপক,কেমিকৌশল বিভাগ
191,জনাব মোঃ হাবিবুর রহমান,প্রধান,মানবিক বিভাগ
192,অধ্যাপক ডঃ মোঃ রেফায়েত উল্লাহ,প্রধান,নৌযান ও নৌযন্ত্র কৌশল বিভাগ
193,অধ্যাপক ডঃ শেখ সেকেন্দার আলী,প্রধান,পুরকৌশল বিভাগ
194,ডঃ খ.ম. মনিরুজ্জামান,সহযোগী অধ্যাপক,নগর ও অঞ্চল পরিকল্পনা বিভাগ
195,অধ্যাপক  ডঃ মোঃ নছরুল হক,প্রধান,বস্তু ও ধাতব কৌশল বিভাগ
196,অধ্যাপক  ডঃ  এস. এম. নজরুল ইসলাম,ডীন,যন্ত্রকৌশল বিভাগ
197,অধ্যাপক  ডঃ মোঃ হোসেন আলী,ডীন,পুরকৌশল বিভাগ
198,অধ্যাপক  ডঃ  মোঃ শহিদুল আমিন,ডীন,স্থাপত্য বিভাগ
199,ডঃ মোহাম্মদ আলী,সহযোগী অধ্যাপক,যন্ত্রকৌশল বিভাগ
200,ডঃ মোহাম্মদ আশিকুর রহমান,সহযোগী অধ্যাপক,যন্ত্রকৌশল বিভাগ
202,অধ্যাপক ডঃ মিমনুল হক,প্রধান,পদার্থ বিজ্ঞান বিভাগ
205,অধ্যাপক ডঃ মোঃ ফজলুল বারী,প্রধান,পানিসম্পদ কৌশল বিভাগ
203,অধ্যাপক ডঃ মোহাম্মদ তািমম,প্রধান,পেট্রোলিয়াম এন্ড মিনারেল রিসোর্সেস ইঞ্জিঃ বিভাগ
204,অধ্যাপক ডঃ মোঃ মাজহারুল হক,প্রধান,পুরকৌশল বিভাগ
206,অধ্যাপক ডঃ মোঃ কামরুল ইসলাম,প্রধান,যন্ত্রকৌশল বিভাগ
207, অধ্যাপক ডঃ নিখিল রঞ্জন ধর,প্রধান,ইন্ড্রাষ্ট্রিয়াল এন্ড প্রোডাকশন ইঞ্জিনিয়ারিং বিভাগ
208, অধ্যাপক ডঃ এস শাহনেওয়াজ আহমেদ,প্রধান,তড়িৎ ও ইলেকট্রনিক কৌশল বিভাগ
